team_market,team_name,team_id,conference_name,conference_id
Kansas,Jayhawks,fae4855b-1b64-4b40-a632-9ed345e1e952,Big 12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557
Arkansas-Little Rock,Trojans,0dadedb0-2bd3-45e7-91a3-93af6c4e87f2,Sun Belt,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5
South Alabama,Jaguars,10c614fa-9646-46cf-a1fb-5af96772bbb8,Sun Belt,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5
Louisiana-Monroe,Warhawks,18585f21-1d63-4400-974c-433fd5073c34,Sun Belt,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5
Texas State,Bobcats,1e5dc9e4-c60d-487b-8279-dfbec9229faa,Sun Belt,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5
Coastal Carolina,Chanticleers,4af63ebd-d3c8-4772-bbde-938a078bd057,Sun Belt,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5
Troy,Trojans,6373b18c-62f6-49bc-bd4c-8959a2466516,Sun Belt,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5
Louisiana-Lafayette,Ragin' Cajuns,63cad858-8654-4956-8438-8fe79cd1208a,Sun Belt,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5
Georgia Southern,Eagles,6b955b96-b736-475e-bffd-e4acf2054169,Sun Belt,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5
Texas-Arlington,Mavericks,7c2b372b-b5f0-466e-90cf-880beec57584,Sun Belt,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5
Appalachian State,Mountaineers,87d88c93-29bc-4306-b0a6-87c6f6e80da1,Sun Belt,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5
Georgia State,Panthers,94ea835b-8ce9-4de2-a5b1-971548fea974,Sun Belt,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5
Arkansas State,Red Wolves,95826e36-ea33-4b51-83a8-7b4cc20999ee,Sun Belt,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5
Northern Arizona,Lumberjacks,1753768d-e46e-40b1-8d69-a8ae5cccec03,Big Sky,3126fb79-47a7-4a57-b065-8b9d1bdb660d
